#Data tag : v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
275657:5038,1:1,06/24/16 03:32:32,STABLE BEAMS,6500,217022.677,177407.797,35.2,PXL
275657:5038,2:2,06/24/16 03:32:55,STABLE BEAMS,6500,216931.092,190109.403,35.2,PXL
275657:5038,3:3,06/24/16 03:33:18,STABLE BEAMS,6500,216410.735,190183.419,35.1,PXL
275657:5038,4:4,06/24/16 03:33:42,STABLE BEAMS,6500,217273.385,190837.736,35.2,PXL
275657:5038,5:5,06/24/16 03:34:05,STABLE BEAMS,6500,216330.136,189804.158,35.1,PXL
275657:5038,6:6,06/24/16 03:34:28,STABLE BEAMS,6500,216210.855,185893.978,35.0,PXL
275657:5038,7:7,06/24/16 03:34:52,STABLE BEAMS,6500,215692.695,190217.189,35.0,PXL
275657:5038,8:8,06/24/16 03:35:15,STABLE BEAMS,6500,216032.621,190719.175,35.0,PXL
275657:5038,9:9,06/24/16 03:35:38,STABLE BEAMS,6500,216472.194,204165.410,35.1,PXL
275657:5038,10:10,06/24/16 03:36:02,STABLE BEAMS,6500,217070.612,204434.084,35.2,PXL
275657:5038,11:11,06/24/16 03:36:25,STABLE BEAMS,6500,216539.285,204992.367,35.1,PXL
275657:5038,12:12,06/24/16 03:36:48,STABLE BEAMS,6500,216752.626,201095.364,35.1,PXL
275657:5038,13:13,06/24/16 03:37:12,STABLE BEAMS,6500,215707.658,204679.710,35.0,PXL
275657:5038,14:14,06/24/16 03:37:35,STABLE BEAMS,6500,217183.348,205564.367,35.2,PXL
275657:5038,15:15,06/24/16 03:37:58,STABLE BEAMS,6500,217046.892,205927.984,35.2,PXL
275657:5038,16:16,06/24/16 03:38:21,STABLE BEAMS,6500,216402.318,205515.174,35.1,PXL
275657:5038,17:17,06/24/16 03:38:45,STABLE BEAMS,6500,216495.094,205571.214,35.1,PXL
275657:5038,18:18,06/24/16 03:39:08,STABLE BEAMS,6500,216294.765,204529.313,35.1,PXL
275657:5038,19:19,06/24/16 03:39:31,STABLE BEAMS,6500,215408.147,204237.474,34.9,PXL
275657:5038,20:20,06/24/16 03:39:55,STABLE BEAMS,6500,216080.572,203105.534,35.0,PXL
275657:5038,21:21,06/24/16 03:40:18,STABLE BEAMS,6500,215985.738,205363.159,35.0,PXL
275657:5038,22:22,06/24/16 03:40:41,STABLE BEAMS,6500,215497.844,205262.278,34.9,PXL
275657:5038,23:23,06/24/16 03:41:05,STABLE BEAMS,6500,215327.703,205361.203,34.9,PXL
275657:5038,24:24,06/24/16 03:41:28,STABLE BEAMS,6500,215455.061,205092.430,34.9,PXL
275657:5038,25:25,06/24/16 03:41:51,STABLE BEAMS,6500,216064.465,202315.314,35.0,PXL
275657:5038,26:26,06/24/16 03:42:15,STABLE BEAMS,6500,215948.464,205505.327,35.0,PXL
275657:5038,27:27,06/24/16 03:42:38,STABLE BEAMS,6500,215086.788,203722.855,34.9,PXL
275657:5038,28:28,06/24/16 03:43:01,STABLE BEAMS,6500,216511.108,205830.362,35.1,PXL
275657:5038,29:29,06/24/16 03:43:25,STABLE BEAMS,6500,215643.259,205497.607,34.9,PXL
275657:5038,30:30,06/24/16 03:43:48,STABLE BEAMS,6500,215003.652,202341.119,34.8,PXL
275657:5038,31:31,06/24/16 03:44:11,STABLE BEAMS,6500,215226.324,204309.225,34.9,PXL
275657:5038,32:32,06/24/16 03:44:34,STABLE BEAMS,6500,215342.634,204333.012,34.9,PXL
275657:5038,33:33,06/24/16 03:44:58,STABLE BEAMS,6500,215184.005,204789.357,34.9,PXL
275657:5038,34:34,06/24/16 03:45:21,STABLE BEAMS,6500,214834.176,204904.579,34.8,PXL
275657:5038,35:35,06/24/16 03:45:44,STABLE BEAMS,6500,214408.591,204129.618,34.7,PXL
275657:5038,36:36,06/24/16 03:46:08,STABLE BEAMS,6500,214661.575,204727.414,34.8,PXL
275657:5038,37:37,06/24/16 03:46:31,STABLE BEAMS,6500,214358.258,204947.534,34.7,PXL
275657:5038,38:38,06/24/16 03:46:54,STABLE BEAMS,6500,214962.849,205113.391,34.8,PXL
275657:5038,39:39,06/24/16 03:47:18,STABLE BEAMS,6500,214178.446,204136.604,34.7,PXL
275657:5038,40:40,06/24/16 03:47:41,STABLE BEAMS,6500,213974.527,203935.417,34.7,PXL
275657:5038,41:41,06/24/16 03:48:04,STABLE BEAMS,6500,213996.468,204891.148,34.7,PXL
275657:5038,42:42,06/24/16 03:48:28,STABLE BEAMS,6500,214832.814,205261.308,34.8,PXL
275657:5038,43:43,06/24/16 03:48:51,STABLE BEAMS,6500,213465.791,203805.681,34.6,PXL
275657:5038,44:44,06/24/16 03:49:14,STABLE BEAMS,6500,214122.743,204173.188,34.7,PXL
275657:5038,45:45,06/24/16 03:49:38,STABLE BEAMS,6500,213270.150,200808.777,34.6,PXL
275657:5038,46:46,06/24/16 03:50:01,STABLE BEAMS,6500,213328.483,204557.321,34.6,PXL
275657:5038,47:47,06/24/16 03:50:24,STABLE BEAMS,6500,214348.927,205213.682,34.7,PXL
275657:5038,48:48,06/24/16 03:50:47,STABLE BEAMS,6500,213370.879,203873.163,34.6,PXL
275657:5038,49:49,06/24/16 03:51:11,STABLE BEAMS,6500,213392.897,195696.053,34.6,PXL
275657:5038,50:50,06/24/16 03:51:34,STABLE BEAMS,6500,213091.979,193555.695,34.5,PXL
275657:5038,51:51,06/24/16 03:51:57,STABLE BEAMS,6500,213561.460,193546.739,34.6,PXL
275657:5038,52:52,06/24/16 03:52:21,STABLE BEAMS,6500,213022.892,195585.901,34.5,PXL
275657:5038,53:53,06/24/16 03:52:44,STABLE BEAMS,6500,213941.322,86148.306,34.7,PXL
275657:5038,54:54,06/24/16 03:53:07,STABLE BEAMS,6500,213234.361,57799.380,34.6,PXL
275657:5038,55:55,06/24/16 03:53:31,STABLE BEAMS,6500,212975.916,195993.055,34.5,PXL
275657:5038,56:56,06/24/16 03:53:54,STABLE BEAMS,6500,212758.226,195688.539,34.5,PXL
275657:5038,57:57,06/24/16 03:54:17,STABLE BEAMS,6500,212721.184,196571.119,34.5,PXL
275657:5038,58:58,06/24/16 03:54:41,STABLE BEAMS,6500,211983.540,195126.655,34.4,PXL
275657:5038,59:59,06/24/16 03:55:04,STABLE BEAMS,6500,213070.224,196867.006,34.5,PXL
275657:5038,60:60,06/24/16 03:55:27,STABLE BEAMS,6500,212378.147,196256.788,34.4,PXL
275657:5038,61:61,06/24/16 03:55:51,STABLE BEAMS,6500,211904.519,196344.180,34.3,PXL
275657:5038,62:62,06/24/16 03:56:14,STABLE BEAMS,6500,211591.021,196006.225,34.3,PXL
275657:5038,63:63,06/24/16 03:56:37,STABLE BEAMS,6500,211799.318,195447.021,34.3,PXL
275657:5038,64:64,06/24/16 03:57:00,STABLE BEAMS,6500,211435.331,195688.771,34.3,PXL
275657:5038,65:65,06/24/16 03:57:24,STABLE BEAMS,6500,211352.938,195843.420,34.3,PXL
275657:5038,66:66,06/24/16 03:57:47,STABLE BEAMS,6500,79844.929,78450.865,12.9,PXL
275657:5038,67:67,06/24/16 03:58:10,STABLE BEAMS,6500,134795.463,131638.795,21.8,PXL
275657:5038,68:68,06/24/16 03:58:34,STABLE BEAMS,6500,196239.704,186247.522,31.8,PXL
275657:5038,69:69,06/24/16 03:58:57,STABLE BEAMS,6500,193766.640,182274.095,31.4,PXL
275657:5038,70:70,06/24/16 03:59:20,STABLE BEAMS,6500,118521.670,116060.071,19.2,PXL
275657:5038,71:71,06/24/16 03:59:44,STABLE BEAMS,6500,108093.761,105132.361,17.5,PXL
275657:5038,72:72,06/24/16 04:00:07,STABLE BEAMS,6500,40716.786,40165.261,6.6,PXL
275657:5038,73:73,06/24/16 04:00:30,STABLE BEAMS,6500,83440.791,82121.310,13.5,PXL
275657:5038,74:74,06/24/16 04:00:54,STABLE BEAMS,6500,177074.094,169511.556,28.7,PXL
275657:5038,75:75,06/24/16 04:01:17,STABLE BEAMS,6500,187234.235,179745.266,30.3,PXL
275657:5038,76:76,06/24/16 04:01:40,STABLE BEAMS,6500,81135.098,79854.577,13.1,PXL
275657:5038,77:77,06/24/16 04:02:03,STABLE BEAMS,6500,94586.276,90731.274,15.3,PXL
275657:5038,78:78,06/24/16 04:02:27,STABLE BEAMS,6500,209369.624,192959.947,33.9,PXL
275657:5038,79:79,06/24/16 04:02:50,STABLE BEAMS,6500,210190.451,194451.274,34.1,PXL
275657:5038,80:80,06/24/16 04:03:13,STABLE BEAMS,6500,210222.372,195822.944,34.1,PXL
275657:5038,81:81,06/24/16 04:03:37,STABLE BEAMS,6500,210528.861,196978.052,34.1,PXL
