#Data tag : v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
277981:5151,82:82,08/01/16 11:52:59,STABLE BEAMS,6500,236302.911,45881.189,124.8,PXL
277981:5151,85:85,08/01/16 11:54:09,STABLE BEAMS,6500,235248.519,224633.798,124.2,PXL
277981:5151,86:86,08/01/16 11:54:33,STABLE BEAMS,6500,234743.094,224133.369,123.9,PXL
277981:5151,87:87,08/01/16 11:54:56,STABLE BEAMS,6500,234877.307,224287.638,124.0,PXL
277981:5151,88:88,08/01/16 11:55:19,STABLE BEAMS,6500,234364.857,220656.919,123.7,PXL
277981:5151,89:89,08/01/16 11:55:43,STABLE BEAMS,6500,234704.551,220718.958,123.9,PXL
277981:5151,90:90,08/01/16 11:56:06,STABLE BEAMS,6500,234798.240,224265.477,124.0,PXL
277981:5151,91:91,08/01/16 11:56:29,STABLE BEAMS,6500,234517.389,224006.032,123.8,PXL
277981:5151,92:92,08/01/16 11:56:53,STABLE BEAMS,6500,234062.948,223597.613,123.6,PXL
277981:5151,93:93,08/01/16 11:57:16,STABLE BEAMS,6500,234975.529,222985.930,124.1,PXL
277981:5151,94:94,08/01/16 11:57:39,STABLE BEAMS,6500,234612.780,224117.839,123.9,PXL
277981:5151,95:95,08/01/16 11:58:02,STABLE BEAMS,6500,233743.693,222482.366,123.4,PXL
277981:5151,96:96,08/01/16 11:58:26,STABLE BEAMS,6500,233695.789,223315.395,123.4,PXL
277981:5151,97:97,08/01/16 11:58:49,STABLE BEAMS,6500,233360.412,223035.104,123.2,PXL
277981:5151,98:98,08/01/16 11:59:12,STABLE BEAMS,6500,234449.757,224043.217,123.8,PXL
277981:5151,99:99,08/01/16 11:59:36,STABLE BEAMS,6500,234254.039,219861.375,123.7,PXL
277981:5151,100:100,08/01/16 11:59:59,STABLE BEAMS,6500,233584.027,223228.629,123.3,PXL
277981:5151,101:101,08/01/16 12:00:22,STABLE BEAMS,6500,233895.592,221280.484,123.5,PXL
277981:5151,102:102,08/01/16 12:00:46,STABLE BEAMS,6500,233948.633,223022.637,123.5,PXL
277981:5151,103:103,08/01/16 12:01:09,STABLE BEAMS,6500,233732.630,222827.711,123.4,PXL
277981:5151,104:104,08/01/16 12:01:32,STABLE BEAMS,6500,233103.266,222840.426,123.1,PXL
277981:5151,105:105,08/01/16 12:01:56,STABLE BEAMS,6500,233920.859,223599.090,123.5,PXL
277981:5151,106:106,08/01/16 12:02:19,STABLE BEAMS,6500,233634.299,223371.970,123.4,PXL
277981:5151,107:107,08/01/16 12:02:42,STABLE BEAMS,6500,233084.219,222914.068,123.1,PXL
277981:5151,108:108,08/01/16 12:03:05,STABLE BEAMS,6500,233183.880,222913.458,123.1,PXL
277981:5151,109:109,08/01/16 12:03:29,STABLE BEAMS,6500,233591.253,221576.920,123.3,PXL
277981:5151,110:110,08/01/16 12:03:52,STABLE BEAMS,6500,233300.918,223102.738,123.2,PXL
277981:5151,111:111,08/01/16 12:04:15,STABLE BEAMS,6500,232888.408,222699.553,123.0,PXL
277981:5151,112:112,08/01/16 12:04:39,STABLE BEAMS,6500,232201.144,221794.460,122.6,PXL
277981:5151,113:113,08/01/16 12:05:02,STABLE BEAMS,6500,232506.612,221873.969,122.8,PXL
277981:5151,114:114,08/01/16 12:05:25,STABLE BEAMS,6500,232896.779,219049.350,123.0,PXL
277981:5151,115:115,08/01/16 12:05:49,STABLE BEAMS,6500,232235.045,222220.541,122.6,PXL
277981:5151,116:116,08/01/16 12:06:12,STABLE BEAMS,6500,232322.143,222321.891,122.7,PXL
277981:5151,117:117,08/01/16 12:06:35,STABLE BEAMS,6500,232671.848,222656.206,122.8,PXL
277981:5151,118:118,08/01/16 12:06:59,STABLE BEAMS,6500,231873.859,221615.579,122.4,PXL
277981:5151,119:119,08/01/16 12:07:22,STABLE BEAMS,6500,231855.972,221833.837,122.4,PXL
277981:5151,120:120,08/01/16 12:07:45,STABLE BEAMS,6500,231850.433,221252.273,122.4,PXL
277981:5151,121:121,08/01/16 12:08:08,STABLE BEAMS,6500,231630.144,221638.322,122.3,PXL
277981:5151,122:122,08/01/16 12:08:32,STABLE BEAMS,6500,232204.718,222203.098,122.6,PXL
277981:5151,123:123,08/01/16 12:08:55,STABLE BEAMS,6500,231322.123,219948.071,122.1,PXL
277981:5151,124:124,08/01/16 12:09:18,STABLE BEAMS,6500,230879.905,220995.133,121.9,PXL
277981:5151,125:125,08/01/16 12:09:42,STABLE BEAMS,6500,230930.656,221063.584,121.9,PXL
