#Data tag : v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
278820:5199,17:17,08/14/16 11:00:51,STABLE BEAMS,6500,246355.067,0.000,34.1,PXL
278820:5199,18:18,08/14/16 11:01:15,STABLE BEAMS,6500,250108.800,239324.417,34.6,PXL
278820:5199,19:19,08/14/16 11:01:38,STABLE BEAMS,6500,237755.454,230926.171,32.9,PXL
278820:5199,20:20,08/14/16 11:02:01,STABLE BEAMS,6500,238757.021,232104.944,33.0,PXL
278820:5199,21:21,08/14/16 11:02:25,STABLE BEAMS,6500,255280.943,243754.161,35.3,PXL
278820:5199,22:22,08/14/16 11:02:48,STABLE BEAMS,6500,254358.783,234409.842,35.2,PXL
278820:5199,23:23,08/14/16 11:03:11,STABLE BEAMS,6500,255171.920,235890.794,35.3,PXL
278820:5199,24:24,08/14/16 11:03:35,STABLE BEAMS,6500,253882.896,233753.317,35.1,PXL
278820:5199,25:25,08/14/16 11:03:58,STABLE BEAMS,6500,255389.857,246978.831,35.3,PXL
278820:5199,26:26,08/14/16 11:04:21,STABLE BEAMS,6500,254461.323,246258.480,35.2,PXL
278820:5199,27:27,08/14/16 11:04:45,STABLE BEAMS,6500,254737.810,246878.152,35.2,PXL
278820:5199,28:28,08/14/16 11:05:08,STABLE BEAMS,6500,254687.538,247157.059,35.2,PXL
278820:5199,29:29,08/14/16 11:05:31,STABLE BEAMS,6500,254953.643,247088.623,35.3,PXL
278820:5199,30:30,08/14/16 11:05:54,STABLE BEAMS,6500,254325.826,246846.133,35.2,PXL
278820:5199,31:31,08/14/16 11:06:18,STABLE BEAMS,6500,254399.570,246649.061,35.2,PXL
278820:5199,32:32,08/14/16 11:06:41,STABLE BEAMS,6500,254302.477,246564.557,35.2,PXL
278820:5199,33:33,08/14/16 11:07:04,STABLE BEAMS,6500,255538.568,247774.745,35.3,PXL
278820:5199,34:34,08/14/16 11:07:28,STABLE BEAMS,6500,253955.263,246194.517,35.1,PXL
278820:5199,35:35,08/14/16 11:07:51,STABLE BEAMS,6500,254564.110,247182.829,35.2,PXL
278820:5199,36:36,08/14/16 11:08:14,STABLE BEAMS,6500,253632.605,246311.255,35.1,PXL
278820:5199,37:37,08/14/16 11:08:38,STABLE BEAMS,6500,254726.855,243687.423,35.2,PXL
278820:5199,38:38,08/14/16 11:09:01,STABLE BEAMS,6500,253168.492,245753.905,35.0,PXL
278820:5199,39:39,08/14/16 11:09:24,STABLE BEAMS,6500,253698.009,245993.994,35.1,PXL
278820:5199,40:40,08/14/16 11:09:48,STABLE BEAMS,6500,252252.661,244562.947,34.9,PXL
278820:5199,41:41,08/14/16 11:10:11,STABLE BEAMS,6500,253697.885,246304.294,35.1,PXL
278820:5199,42:42,08/14/16 11:10:34,STABLE BEAMS,6500,253241.788,245193.636,35.0,PXL
278820:5199,43:43,08/14/16 11:10:58,STABLE BEAMS,6500,253182.990,245550.112,35.0,PXL
278820:5199,44:44,08/14/16 11:11:21,STABLE BEAMS,6500,252012.180,244462.706,34.8,PXL
278820:5199,45:45,08/14/16 11:11:44,STABLE BEAMS,6500,252715.304,245328.420,34.9,PXL
278820:5199,46:46,08/14/16 11:12:07,STABLE BEAMS,6500,253564.554,246227.864,35.1,PXL
278820:5199,47:47,08/14/16 11:12:31,STABLE BEAMS,6500,253618.958,246235.130,35.1,PXL
278820:5199,48:48,08/14/16 11:12:54,STABLE BEAMS,6500,253476.095,245523.011,35.0,PXL
278820:5199,49:49,08/14/16 11:13:17,STABLE BEAMS,6500,253671.535,246340.703,35.1,PXL
278820:5199,50:50,08/14/16 11:13:41,STABLE BEAMS,6500,251967.741,244236.391,34.8,PXL
278820:5199,51:51,08/14/16 11:14:04,STABLE BEAMS,6500,252172.960,244959.040,34.9,PXL
278820:5199,52:52,08/14/16 11:14:27,STABLE BEAMS,6500,252182.398,244702.526,34.9,PXL
278820:5199,53:53,08/14/16 11:14:51,STABLE BEAMS,6500,252379.524,245228.937,34.9,PXL
278820:5199,54:54,08/14/16 11:15:14,STABLE BEAMS,6500,251163.904,243733.476,34.7,PXL
278820:5199,55:55,08/14/16 11:15:37,STABLE BEAMS,6500,250921.225,243862.384,34.7,PXL
278820:5199,56:56,08/14/16 11:16:01,STABLE BEAMS,6500,252250.526,244121.931,34.9,PXL
278820:5199,57:57,08/14/16 11:16:24,STABLE BEAMS,6500,250979.760,243887.045,34.7,PXL
278820:5199,58:58,08/14/16 11:16:47,STABLE BEAMS,6500,250645.945,243556.979,34.7,PXL
278820:5199,59:59,08/14/16 11:17:11,STABLE BEAMS,6500,249293.110,241908.148,34.5,PXL
278820:5199,60:60,08/14/16 11:17:34,STABLE BEAMS,6500,249363.992,241497.361,34.5,PXL
278820:5199,61:61,08/14/16 11:17:57,STABLE BEAMS,6500,249352.062,241945.354,34.5,PXL
