#Data tag : v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
281613:5331,101:101,09/25/16 06:03:32,STABLE BEAMS,6500,16806.422,1632.038,32.7,PXL
281613:5331,102:102,09/25/16 06:03:56,STABLE BEAMS,6500,16812.460,12410.202,32.7,PXL
281613:5331,103:103,09/25/16 06:04:19,STABLE BEAMS,6500,16758.798,16568.000,32.6,PXL
281613:5331,104:104,09/25/16 06:04:42,STABLE BEAMS,6500,16739.112,16550.739,32.5,PXL
281613:5331,105:105,09/25/16 06:05:06,STABLE BEAMS,6500,16753.452,16565.724,32.6,PXL
281613:5331,106:106,09/25/16 06:05:29,STABLE BEAMS,6500,16708.828,16520.510,32.5,PXL
281613:5331,107:107,09/25/16 06:05:52,STABLE BEAMS,6500,16736.849,16549.069,32.5,PXL
281613:5331,108:108,09/25/16 06:06:16,STABLE BEAMS,6500,17472.329,6278.246,34.0,PXL
281613:5331,109:109,09/25/16 06:06:39,STABLE BEAMS,6500,17388.369,6249.403,33.8,PXL
281613:5331,110:110,09/25/16 06:07:02,STABLE BEAMS,6500,17323.711,6213.305,33.7,PXL
281613:5331,111:111,09/25/16 06:07:25,STABLE BEAMS,6500,17269.184,6245.065,33.6,PXL
281613:5331,112:112,09/25/16 06:07:49,STABLE BEAMS,6500,17373.277,6260.515,33.8,PXL
281613:5331,113:113,09/25/16 06:08:12,STABLE BEAMS,6500,17275.753,6265.364,33.6,PXL
281613:5331,114:114,09/25/16 06:08:36,STABLE BEAMS,6500,17275.625,6236.667,33.6,PXL
281613:5331,115:115,09/25/16 06:08:59,STABLE BEAMS,6500,17321.734,4779.212,33.7,PXL
281613:5331,116:116,09/25/16 06:09:22,STABLE BEAMS,6500,17370.037,1147.048,33.8,PXL
281613:5331,117:117,09/25/16 06:09:45,STABLE BEAMS,6500,17145.089,106.566,33.3,PXL
281613:5331,118:118,09/25/16 06:10:09,STABLE BEAMS,6500,17487.590,72.591,34.0,PXL
281613:5331,119:119,09/25/16 06:10:32,STABLE BEAMS,6500,17862.634,7.680,34.7,PXL
281613:5331,120:120,09/25/16 06:10:55,STABLE BEAMS,6500,19152.557,13.309,37.2,PXL
281613:5331,121:121,09/25/16 06:11:19,STABLE BEAMS,6500,16423.900,41.848,31.9,PXL
281613:5331,122:122,09/25/16 06:11:42,STABLE BEAMS,6500,16227.863,11.483,31.5,PXL
281613:5331,123:123,09/25/16 06:12:05,STABLE BEAMS,6500,15649.062,29.126,30.4,PXL
281613:5331,124:124,09/25/16 06:12:29,STABLE BEAMS,6500,15957.195,245.777,31.0,PXL
281613:5331,125:125,09/25/16 06:12:52,STABLE BEAMS,6500,16396.484,131.530,31.9,PXL
281613:5331,126:126,09/25/16 06:13:15,STABLE BEAMS,6500,15883.383,87.992,30.9,PXL
281613:5331,127:127,09/25/16 06:13:39,STABLE BEAMS,6500,16266.339,211.363,31.6,PXL
281613:5331,128:128,09/25/16 06:14:02,STABLE BEAMS,6500,16212.607,172.772,31.5,PXL
281613:5331,130:130,09/25/16 06:14:48,STABLE BEAMS,6500,17002.051,17.873,33.0,PXL
281613:5331,133:133,09/25/16 06:15:58,STABLE BEAMS,6500,15732.141,17.116,30.6,PXL
281613:5331,135:135,09/25/16 06:16:45,STABLE BEAMS,6500,17241.604,36.284,33.5,PXL
281613:5331,136:136,09/25/16 06:17:08,STABLE BEAMS,6500,16541.220,35.279,32.2,PXL
281613:5331,137:137,09/25/16 06:17:32,STABLE BEAMS,6500,15751.149,28.521,30.6,PXL
281613:5331,138:138,09/25/16 06:17:55,STABLE BEAMS,6500,19491.747,7.087,37.9,PXL
281613:5331,139:139,09/25/16 06:18:18,STABLE BEAMS,6500,15575.825,16.582,30.3,PXL
281613:5331,143:143,09/25/16 06:19:51,STABLE BEAMS,6500,16423.351,262.477,31.9,PXL
281613:5331,144:144,09/25/16 06:20:15,STABLE BEAMS,6500,16286.349,825.319,31.7,PXL
281613:5331,145:145,09/25/16 06:20:38,STABLE BEAMS,6500,16299.559,2207.933,31.7,PXL
